[registry] ✓ pi_release — PI Release 实验
[registry] ✓ recall_rating — n-back × 类别切换 + Rating
模块: n-back × 类别切换 + Rating (recall_rating)
模型: deepseek-chat
条件数: 36

  [423/1800] NP: lag1_corr=-0.010 assimilation_score=-0.010 direction_tag=0.000 doG_A=-0.104 doG_half_amp=-102.774
  [424/1800] NP: lag1_corr=-0.196 assimilation_score=-0.196 direction_tag=-1.000 doG_A=-0.126 doG_half_amp=-112.908
  [425/1800] NP: lag1_corr=0.405 assimilation_score=0.405 direction_tag=1.000 doG_A=-0.097 doG_half_amp=-96.396
  [426/1800] NP: lag1_corr=-0.025 assimilation_score=-0.025 direction_tag=0.000 doG_A=-0.096 doG_half_amp=-97.162
  [427/1800] NP: lag1_corr=0.206 assimilation_score=0.206 direction_tag=1.000 doG_A=-0.118 doG_half_amp=-106.713
  [428/1800] NP: lag1_corr=0.281 assimilation_score=0.281 direction_tag=1.000 doG_A=-0.112 doG_half_amp=-101.542
  [429/1800] NP: lag1_corr=-0.075 assimilation_score=-0.075 direction_tag=-1.000 doG_A=-0.129 doG_half_amp=-113.455
  [430/1800] NP: lag1_corr=-0.243 assimilation_score=-0.243 direction_tag=-1.000 doG_A=-0.124 doG_half_amp=-110.660
  [431/1800] NP: lag1_corr=0.491 assimilation_score=0.491 direction_tag=1.000 doG_A=-0.109 doG_half_amp=-101.532
  [432/1800] NP: lag1_corr=-0.526 assimilation_score=-0.526 direction_tag=-1.000 doG_A=-0.118 doG_half_amp=-109.297
  [433/1800] NP: lag1_corr=0.399 assimilation_score=0.399 direction_tag=1.000 doG_A=-0.107 doG_half_amp=-100.958
  [434/1800] NP: lag1_corr=-0.147 assimilation_score=-0.147 direction_tag=-1.000 doG_A=-0.113 doG_half_amp=-105.780
  [435/1800] NP: lag1_corr=-0.114 assimilation_score=-0.114 direction_tag=-1.000 doG_A=-0.113 doG_half_amp=-105.249
  [436/1800] NP: lag1_corr=0.415 assimilation_score=0.415 direction_tag=1.000 doG_A=-0.088 doG_half_amp=-106.475
  [437/1800] NP: lag1_corr=-0.258 assimilation_score=-0.258 direction_tag=-1.000 doG_A=-0.098 doG_half_amp=-95.590
  [438/1800] NP: lag1_corr=-0.405 assimilation_score=-0.405 direction_tag=-1.000 doG_A=-0.110 doG_half_amp=-105.573
  [439/1800] NP: lag1_corr=-0.114 assimilation_score=-0.114 direction_tag=-1.000 doG_A=-0.105 doG_half_amp=-100.997
  [440/1800] NP: lag1_corr=0.130 assimilation_score=0.130 direction_tag=1.000 doG_A=-0.095 doG_half_amp=-96.876
  [441/1800] NP: lag1_corr=-0.032 assimilation_score=-0.032 direction_tag=0.000 doG_A=-0.125 doG_half_amp=-112.487
  [442/1800] NP: lag1_corr=0.146 assimilation_score=0.146 direction_tag=1.000 doG_A=-0.115 doG_half_amp=-105.257
  [443/1800] NP: lag1_corr=-0.263 assimilation_score=-0.263 direction_tag=-1.000 doG_A=-0.115 doG_half_amp=-106.523
  [444/1800] NP: lag1_corr=0.185 assimilation_score=0.185 direction_tag=1.000 doG_A=-0.112 doG_half_amp=-103.087
  [445/1800] NP: lag1_corr=0.144 assimilation_score=0.144 direction_tag=1.000 doG_A=-0.115 doG_half_amp=-103.569
  [446/1800] NP: lag1_corr=-0.133 assimilation_score=-0.133 direction_tag=-1.000 doG_A=-0.081 doG_half_amp=-90.309
  [447/1800] NP: lag1_corr=-0.230 assimilation_score=-0.230 direction_tag=-1.000 doG_A=-0.097 doG_half_amp=-97.708
  [448/1800] NP: lag1_corr=-0.154 assimilation_score=-0.154 direction_tag=-1.000 doG_A=-0.104 doG_half_amp=-100.382
  [449/1800] NP: lag1_corr=0.198 assimilation_score=0.198 direction_tag=1.000 doG_A=-0.087 doG_half_amp=-103.336
  [450/1800] NP: lag1_corr=-0.642 assimilation_score=-0.642 direction_tag=-1.000 doG_A=-0.109 doG_half_amp=-104.296
  [451/1800] NS: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.727
  [452/1800] NS: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.909
  [453/1800] NS: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0.636
  [454/1800] NS: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0.727
  [455/1800] NS: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0.818
  [456/1800] NS: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.818
  [457/1800] NS: d_prime=0.117 hit_rate=0.250 false_alarm=0.214 acc_first_half=0.636 acc_second_half=0.545
  [458/1800] NS: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.636
  [459/1800] NS: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0.636
  [460/1800] NS: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.636
  [461/1800] NS: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.636
  [462/1800] NS: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0.818
  [463/1800] NS: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.909
  [464/1800] NS: d_prime=3 hit_rate=0.875 false_alarm=0.000 acc_first_half=0.909 acc_second_half=1.000
  [465/1800] NS: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.818
  [466/1800] NS: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.545
  [467/1800] NS: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.636
  [468/1800] NS: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.636 acc_second_half=0.818
  [469/1800] NS: d_prime=3 hit_rate=0.875 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0.909
  [470/1800] NS: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0.636
  [471/1800] NS: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.818
  [472/1800] NS: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.545
  [473/1800] NS: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.818
  [474/1800] NS: d_prime=0.315 hit_rate=0.125 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.545
  [475/1800] NS: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.818
  [476/1800] NS: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.818
  [477/1800] NS: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.636 acc_second_half=0.727
  [478/1800] NS: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.636 acc_second_half=0.727
  [479/1800] NS: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=1.000 acc_second_half=0.545
  [480/1800] NS: d_prime=0.315 hit_rate=0.125 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.455
  [481/1800] NS: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.909
  [482/1800] NS: d_prime=1.068 hit_rate=0.500 false_alarm=0.143 acc_first_half=0.818 acc_second_half=0.636
  [483/1800] NS: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0.636
  [484/1800] NS: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.636
  [485/1800] NS: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.636 acc_second_half=0.727
  [486/1800] NS: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.545 acc_second_half=0.818
  [487/1800] NS: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.818
  [488/1800] NS: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.727
  [489/1800] NS: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=1.000 acc_second_half=0.636
  [490/1800] NS: d_prime=-1.625 hit_rate=0.000 false_alarm=0.071 acc_first_half=0.455 acc_second_half=0.727
  [491/1800] NS: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.909
  [492/1800] NS: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0.818
  [493/1800] NS: d_prime=-0.083 hit_rate=0.125 false_alarm=0.143 acc_first_half=0.636 acc_second_half=0.545
  [494/1800] NS: d_prime=1.147 hit_rate=0.375 false_alarm=0.071 acc_first_half=1.000 acc_second_half=0.455
  [495/1800] NS: d_prime=1.386 hit_rate=0.625 false_alarm=0.143 acc_first_half=0.727 acc_second_half=0.818
  [496/1800] NS: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.818
  [497/1800] NS: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.909
  [498/1800] NS: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.545
  [499/1800] NS: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.818
  [500/1800] NS: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0.727
  [501/1800] NS: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.773 acc_second_half=0
  [502/1800] NS: d_prime=-2.023 hit_rate=0.000 false_alarm=0.143 acc_first_half=0.545 acc_second_half=0
  [503/1800] NS: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.773 acc_second_half=0
  [504/1800] NS: d_prime=2.616 hit_rate=0.875 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0
  [505/1800] NS: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.682 acc_second_half=0
  [506/1800] NS: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.682 acc_second_half=0
  [507/1800] NS: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0
  [508/1800] NS: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [509/1800] NS: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0
  [510/1800] NS: d_prime=0.315 hit_rate=0.125 false_alarm=0.071 acc_first_half=0.636 acc_second_half=0
  [511/1800] NS: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.773 acc_second_half=0
  [512/1800] NS: d_prime=1.147 hit_rate=0.375 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0
  [513/1800] NS: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.773 acc_second_half=0
  [514/1800] NS: d_prime=1.147 hit_rate=0.375 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0
  [515/1800] NS: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.773 acc_second_half=0
  [516/1800] NS: d_prime=3 hit_rate=1.000 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0
  [517/1800] NS: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.682 acc_second_half=0
  [518/1800] NS: d_prime=-2.023 hit_rate=0.000 false_alarm=0.143 acc_first_half=0.545 acc_second_half=0
  [519/1800] NS: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [520/1800] NS: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0
  [521/1800] NS: d_prime=1.742 hit_rate=0.750 false_alarm=0.143 acc_first_half=0.818 acc_second_half=0
  [522/1800] NS: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0
  [523/1800] NS: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.864 acc_second_half=0
  [524/1800] NS: d_prime=2.140 hit_rate=0.750 false_alarm=0.071 acc_first_half=0.864 acc_second_half=0
  [525/1800] NS: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.773 acc_second_half=0
  [526/1800] NS: d_prime=-1.625 hit_rate=0.000 false_alarm=0.071 acc_first_half=0.591 acc_second_half=0
  [527/1800] NS: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [528/1800] NS: d_prime=1.068 hit_rate=0.500 false_alarm=0.143 acc_first_half=0.727 acc_second_half=0
  [529/1800] NS: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.773 acc_second_half=0
  [530/1800] NS: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [531/1800] NS: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [532/1800] NS: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0
  [533/1800] NS: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.773 acc_second_half=0
  [534/1800] NS: d_prime=2.140 hit_rate=0.750 false_alarm=0.071 acc_first_half=0.864 acc_second_half=0
  [535/1800] NS: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0
  [536/1800] NS: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.773 acc_second_half=0
  [537/1800] NS: d_prime=0.315 hit_rate=0.125 false_alarm=0.071 acc_first_half=0.636 acc_second_half=0
  [538/1800] NS: d_prime=0.884 hit_rate=0.625 false_alarm=0.286 acc_first_half=0.682 acc_second_half=0
  [539/1800] NS: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.864 acc_second_half=0
  [540/1800] NS: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.773 acc_second_half=0
  [541/1800] NS: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0
  [542/1800] NS: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0
  [543/1800] NS: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [544/1800] NS: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.773 acc_second_half=0
  [545/1800] NS: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.773 acc_second_half=0
  [546/1800] NS: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0
  [547/1800] NS: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.682 acc_second_half=0
  [548/1800] NS: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.682 acc_second_half=0
  [549/1800] NS: d_prime=3 hit_rate=0.750 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0
  [550/1800] NS: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.773 acc_second_half=0
  [551/1800] NS: lag1_corr=-0.402 assimilation_score=-0.402 direction_tag=-1.000 doG_A=-0.112 doG_half_amp=-109.631
  [552/1800] NS: lag1_corr=0.215 assimilation_score=0.215 direction_tag=1.000 doG_A=-0.120 doG_half_amp=-106.738
  [553/1800] NS: lag1_corr=-0.318 assimilation_score=-0.318 direction_tag=-1.000 doG_A=-0.073 doG_half_amp=-82.408
  [554/1800] NS: lag1_corr=0.029 assimilation_score=0.029 direction_tag=0.000 doG_A=-0.109 doG_half_amp=-100.198
  [555/1800] NS: lag1_corr=0.476 assimilation_score=0.476 direction_tag=1.000 doG_A=-0.087 doG_half_amp=-92.068
  [556/1800] NS: lag1_corr=-0.365 assimilation_score=-0.365 direction_tag=-1.000 doG_A=-0.084 doG_half_amp=-89.292
  [557/1800] NS: lag1_corr=0.000 assimilation_score=0.000 direction_tag=0.000 doG_A=-0.102 doG_half_amp=-97.929
  [558/1800] NS: lag1_corr=-0.055 assimilation_score=-0.055 direction_tag=-1.000 doG_A=-0.085 doG_half_amp=-89.717
  [559/1800] NS: lag1_corr=0.138 assimilation_score=0.138 direction_tag=1.000 doG_A=-0.104 doG_half_amp=-99.697
  [560/1800] NS: lag1_corr=0.012 assimilation_score=0.012 direction_tag=0.000 doG_A=-0.088 doG_half_amp=-93.173
  [561/1800] NS: lag1_corr=-0.004 assimilation_score=-0.004 direction_tag=0.000 doG_A=-0.102 doG_half_amp=-99.899
  [562/1800] NS: lag1_corr=-0.185 assimilation_score=-0.185 direction_tag=-1.000 doG_A=-0.123 doG_half_amp=-113.330
  [563/1800] NS: lag1_corr=0.255 assimilation_score=0.255 direction_tag=1.000 doG_A=-0.098 doG_half_amp=-97.827
  [564/1800] NS: lag1_corr=-0.054 assimilation_score=-0.054 direction_tag=-1.000 doG_A=-0.102 doG_half_amp=-99.862
  [565/1800] NS: lag1_corr=-0.051 assimilation_score=-0.051 direction_tag=-1.000 doG_A=-0.083 doG_half_amp=-87.610
  [566/1800] NS: lag1_corr=-0.156 assimilation_score=-0.156 direction_tag=-1.000 doG_A=-0.103 doG_half_amp=-98.966
  [567/1800] NS: lag1_corr=0.194 assimilation_score=0.194 direction_tag=1.000 doG_A=-0.103 doG_half_amp=-98.803
  [568/1800] NS: lag1_corr=-0.333 assimilation_score=-0.333 direction_tag=-1.000 doG_A=-0.084 doG_half_amp=-89.773
  [569/1800] NS: lag1_corr=0.061 assimilation_score=0.061 direction_tag=1.000 doG_A=-0.117 doG_half_amp=-107.919
  [570/1800] NS: lag1_corr=0.050 assimilation_score=0.050 direction_tag=1.000 doG_A=-0.090 doG_half_amp=-92.288
  [571/1800] NS: lag1_corr=-0.451 assimilation_score=-0.451 direction_tag=-1.000 doG_A=-0.100 doG_half_amp=-98.059
  [572/1800] NS: lag1_corr=0.060 assimilation_score=0.060 direction_tag=1.000 doG_A=-0.091 doG_half_amp=-94.437
  [573/1800] NS: lag1_corr=0.222 assimilation_score=0.222 direction_tag=1.000 doG_A=-0.104 doG_half_amp=-99.752
  [574/1800] NS: lag1_corr=0.021 assimilation_score=0.021 direction_tag=0.000 doG_A=-0.118 doG_half_amp=-115.339
  [575/1800] NS: lag1_corr=-0.141 assimilation_score=-0.141 direction_tag=-1.000 doG_A=-0.112 doG_half_amp=-100.610
  [576/1800] NS: lag1_corr=0.262 assimilation_score=0.262 direction_tag=1.000 doG_A=-0.098 doG_half_amp=-96.978
  [577/1800] NS: lag1_corr=-0.463 assimilation_score=-0.463 direction_tag=-1.000 doG_A=-0.121 doG_half_amp=-107.434
  [578/1800] NS: lag1_corr=0.014 assimilation_score=0.014 direction_tag=0.000 doG_A=-0.094 doG_half_amp=-97.856
  [579/1800] NS: lag1_corr=-0.432 assimilation_score=-0.432 direction_tag=-1.000 doG_A=-0.106 doG_half_amp=-100.471
  [580/1800] NS: lag1_corr=-0.463 assimilation_score=-0.463 direction_tag=-1.000 doG_A=-0.099 doG_half_amp=-98.325
  [581/1800] NS: lag1_corr=0.002 assimilation_score=0.002 direction_tag=0.000 doG_A=-0.054 doG_half_amp=-87.271
  [582/1800] NS: lag1_corr=-0.382 assimilation_score=-0.382 direction_tag=-1.000 doG_A=-0.080 doG_half_amp=-88.155
  [583/1800] NS: lag1_corr=0.353 assimilation_score=0.353 direction_tag=1.000 doG_A=-0.078 doG_half_amp=-96.055
  [584/1800] NS: lag1_corr=0.061 assimilation_score=0.061 direction_tag=1.000 doG_A=-0.099 doG_half_amp=-100.021
  [585/1800] NS: lag1_corr=0.194 assimilation_score=0.194 direction_tag=1.000 doG_A=-0.088 doG_half_amp=-92.341
  [586/1800] NS: lag1_corr=-0.223 assimilation_score=-0.223 direction_tag=-1.000 doG_A=-0.074 doG_half_amp=-81.159
  [587/1800] NS: lag1_corr=-0.188 assimilation_score=-0.188 direction_tag=-1.000 doG_A=-0.087 doG_half_amp=-91.989
  [588/1800] NS: lag1_corr=-0.149 assimilation_score=-0.149 direction_tag=-1.000 doG_A=-0.086 doG_half_amp=-90.633
  [589/1800] NS: lag1_corr=0.002 assimilation_score=0.002 direction_tag=0.000 doG_A=-0.082 doG_half_amp=-92.056
  [590/1800] NS: lag1_corr=0.352 assimilation_score=0.352 direction_tag=1.000 doG_A=-0.084 doG_half_amp=-111.950
  [591/1800] NS: lag1_corr=0.030 assimilation_score=0.030 direction_tag=0.000 doG_A=-0.093 doG_half_amp=-96.988
  [592/1800] NS: lag1_corr=-0.096 assimilation_score=-0.096 direction_tag=-1.000 doG_A=-0.103 doG_half_amp=-100.701
  [593/1800] NS: lag1_corr=-0.363 assimilation_score=-0.363 direction_tag=-1.000 doG_A=-0.106 doG_half_amp=-100.475
  [594/1800] NS: lag1_corr=-0.423 assimilation_score=-0.423 direction_tag=-1.000 doG_A=-0.097 doG_half_amp=-97.559
  [595/1800] NS: lag1_corr=-0.050 assimilation_score=-0.050 direction_tag=0.000 doG_A=-0.106 doG_half_amp=-102.174
  [596/1800] NS: lag1_corr=-0.249 assimilation_score=-0.249 direction_tag=-1.000 doG_A=-0.116 doG_half_amp=-109.184
  [597/1800] NS: lag1_corr=0.329 assimilation_score=0.329 direction_tag=1.000 doG_A=-0.088 doG_half_amp=-102.725
  [598/1800] NS: lag1_corr=-0.067 assimilation_score=-0.067 direction_tag=-1.000 doG_A=-0.084 doG_half_amp=-94.937
  [599/1800] NS: lag1_corr=0.086 assimilation_score=0.086 direction_tag=1.000 doG_A=-0.104 doG_half_amp=-100.746
  [600/1800] NS: lag1_corr=-0.058 assimilation_score=-0.058 direction_tag=-1.000 doG_A=-0.109 doG_half_amp=-101.651
  [601/1800] AA: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.727
  [602/1800] AA: d_prime=1.147 hit_rate=0.375 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.727
  [603/1800] AA: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0.727
  [604/1800] AA: d_prime=1.147 hit_rate=0.375 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.727
  [605/1800] AA: d_prime=1.068 hit_rate=0.500 false_alarm=0.143 acc_first_half=0.818 acc_second_half=0.636
  [606/1800] AA: d_prime=0.315 hit_rate=0.125 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.455
  [607/1800] AA: d_prime=1.742 hit_rate=0.750 false_alarm=0.143 acc_first_half=0.818 acc_second_half=0.818
  [608/1800] AA: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.818
  [609/1800] AA: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.909
  [610/1800] AA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0.455
  [611/1800] AA: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.818
  [612/1800] AA: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.636
  [613/1800] AA: d_prime=0.315 hit_rate=0.125 false_alarm=0.071 acc_first_half=0.636 acc_second_half=0.636
  [614/1800] AA: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0.727
  [615/1800] AA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.545
  [616/1800] AA: d_prime=0.473 hit_rate=0.375 false_alarm=0.214 acc_first_half=0.636 acc_second_half=0.636
  [617/1800] AA: d_prime=0.117 hit_rate=0.250 false_alarm=0.214 acc_first_half=0.545 acc_second_half=0.636
  [618/1800] AA: d_prime=1.110 hit_rate=0.625 false_alarm=0.214 acc_first_half=0.818 acc_second_half=0.636
  [619/1800] AA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.727
  [620/1800] AA: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.909
  [621/1800] AA: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.818
  [622/1800] AA: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.636 acc_second_half=0.727
  [623/1800] AA: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=1.000 acc_second_half=0.545
  [624/1800] AA: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.909 acc_second_half=0.636
  [625/1800] AA: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.727
  [626/1800] AA: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=1.000 acc_second_half=0.636
  [627/1800] AA: d_prime=0.393 hit_rate=0.250 false_alarm=0.143 acc_first_half=0.455 acc_second_half=0.818
  [628/1800] AA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.636
  [629/1800] AA: d_prime=1.147 hit_rate=0.375 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.727
  [630/1800] AA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0.727
  [631/1800] AA: d_prime=0.315 hit_rate=0.125 false_alarm=0.071 acc_first_half=0.545 acc_second_half=0.727
  [632/1800] AA: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0.727
  [633/1800] AA: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.818
  [634/1800] AA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0.636
  [635/1800] AA: d_prime=2.140 hit_rate=0.750 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.909
  [636/1800] AA: d_prime=2.140 hit_rate=0.750 false_alarm=0.071 acc_first_half=1.000 acc_second_half=0.727
  [637/1800] AA: d_prime=1.147 hit_rate=0.375 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.727
  [638/1800] AA: d_prime=1.386 hit_rate=0.625 false_alarm=0.143 acc_first_half=0.818 acc_second_half=0.727
  [639/1800] AA: d_prime=1.147 hit_rate=0.375 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0.727
  [640/1800] AA: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.636 acc_second_half=0.727
  [641/1800] AA: d_prime=1.068 hit_rate=0.500 false_alarm=0.143 acc_first_half=0.727 acc_second_half=0.727
  [642/1800] AA: d_prime=-0.083 hit_rate=0.125 false_alarm=0.143 acc_first_half=0.636 acc_second_half=0.545
  [643/1800] AA: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0.727
  [644/1800] AA: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0.545
  [645/1800] AA: d_prime=1.466 hit_rate=0.500 false_alarm=0.071 acc_first_half=0.909 acc_second_half=0.636
