[registry] ✓ pi_release — PI Release 实验
[registry] ✓ recall_rating — n-back × 类别切换 + Rating
模块: n-back × 类别切换 + Rating (recall_rating)
模型: deepseek-chat
条件数: 36

  [51/1800] VA: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.864 acc_second_half=0
  [52/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [53/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [54/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [55/1800] VA: d_prime=-1.625 hit_rate=0.000 false_alarm=0.071 acc_first_half=0.591 acc_second_half=0
  [56/1800] VA: d_prime=1.784 hit_rate=0.625 false_alarm=0.071 acc_first_half=0.818 acc_second_half=0
  [57/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [58/1800] VA: d_prime=1.386 hit_rate=0.625 false_alarm=0.143 acc_first_half=0.773 acc_second_half=0
  [59/1800] VA: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.682 acc_second_half=0
  [60/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [61/1800] VA: d_prime=-1.625 hit_rate=0.000 false_alarm=0.071 acc_first_half=0.591 acc_second_half=0
  [62/1800] VA: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.682 acc_second_half=0
  [63/1800] VA: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.682 acc_second_half=0
  [64/1800] VA: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.773 acc_second_half=0
  [65/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [66/1800] VA: d_prime=1.386 hit_rate=0.625 false_alarm=0.143 acc_first_half=0.773 acc_second_half=0
  [67/1800] VA: d_prime=-2.023 hit_rate=0.000 false_alarm=0.143 acc_first_half=0.545 acc_second_half=0
  [68/1800] VA: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.682 acc_second_half=0
  [69/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [70/1800] VA: d_prime=1.386 hit_rate=0.625 false_alarm=0.143 acc_first_half=0.773 acc_second_half=0
  [71/1800] VA: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0
  [72/1800] VA: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.682 acc_second_half=0
  [73/1800] VA: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.864 acc_second_half=0
  [74/1800] VA: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.773 acc_second_half=0
  [75/1800] VA: d_prime=0.393 hit_rate=0.250 false_alarm=0.143 acc_first_half=0.636 acc_second_half=0
  [76/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [77/1800] VA: d_prime=1.147 hit_rate=0.375 false_alarm=0.071 acc_first_half=0.727 acc_second_half=0
  [78/1800] VA: d_prime=3 hit_rate=0.625 false_alarm=0.000 acc_first_half=0.864 acc_second_half=0
  [79/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [80/1800] VA: d_prime=-0.083 hit_rate=0.125 false_alarm=0.143 acc_first_half=0.591 acc_second_half=0
  [81/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [82/1800] VA: d_prime=2.772 hit_rate=0.375 false_alarm=0.000 acc_first_half=0.773 acc_second_half=0
  [83/1800] VA: d_prime=2.416 hit_rate=0.250 false_alarm=0.000 acc_first_half=0.727 acc_second_half=0
  [84/1800] VA: d_prime=3 hit_rate=0.500 false_alarm=0.000 acc_first_half=0.818 acc_second_half=0
  [85/1800] VA: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.682 acc_second_half=0
  [86/1800] VA: d_prime=0.791 hit_rate=0.250 false_alarm=0.071 acc_first_half=0.682 acc_second_half=0
  [87/1800] VA: d_prime=1.940 hit_rate=0.125 false_alarm=0.000 acc_first_half=0.682 acc_second_half=0
